"id","price","date_stamp","issn","influence_id","url","license"
8793,2450,"2016-08-11","1756-8935","NULL","NULL",NA
8794,2450,"2016-08-11","2041-9139","NULL","NULL",NA
8795,0,"2016-08-11","2398-0060","NULL","NULL",NA
8796,2145,"2016-08-11","2234-1757","NULL","NULL",NA
8797,2365,"2016-08-11","1742-9994","NULL","NULL",NA
8798,2145,"2016-08-11","2054-3085","NULL","NULL",NA
8799,1800,"2016-08-11","1297-9686","NULL","NULL",NA
8800,2975,"2016-08-11","1474-760X","NULL","NULL",NA
8801,2050,"2016-08-11","2047-217X","NULL","NULL",NA
8802,0,"2016-08-11","1438-3888","NULL","NULL",NA
8803,2145,"2016-08-11","1601-5223","NULL","NULL",NA
8804,0,"2016-08-11","2055-0391","NULL","NULL",NA
8805,2365,"2016-08-11","2241-5793","NULL","NULL",NA
8806,2145,"2016-08-11","1476-511X","NULL","NULL",NA
8807,2145,"2016-08-11","2051-3933","NULL","NULL",NA
8808,2240,"2016-08-11","1746-4811","NULL","NULL",NA
8809,2145,"2016-08-11","1477-5956","NULL","NULL",NA
8810,1760,"2016-08-11","0717-6317","NULL","NULL",NA
8811,2450,"2016-08-11","2044-5040","NULL","NULL",NA
8812,2145,"2016-08-11","1751-0473","NULL","NULL",NA
8813,2145,"2016-08-11","1944-3277","NULL","NULL",NA
8814,2175,"2016-08-11","1757-6512","NULL","NULL",NA
8815,0,"2016-08-11","2056-306X","NULL","NULL",NA
8816,1890,"2016-08-11","2055-7124","NULL","NULL",NA
8817,2145,"2016-08-11","2058-6345","NULL","NULL",NA
8818,2145,"2016-08-11","2041-1480","NULL","NULL",NA
8819,2365,"2016-08-11","1751-0147","NULL","NULL",NA
8820,2145,"2016-08-11","1940-0640","NULL","NULL",NA
8821,2145,"2016-08-11","2059-0628","NULL","NULL",NA
8822,2300,"2016-08-11","1742-6405","NULL","NULL",NA
8823,2145,"2016-08-11","1710-1492","NULL","NULL",NA
8824,2450,"2016-08-11","1744-859X","NULL","NULL",NA
8825,1975,"2016-08-11","2052-4374","NULL","NULL",NA
8826,0,"2016-08-11","1980-5578","NULL","NULL",NA
8827,2145,"2016-08-11","2049-3258","NULL","NULL",NA
8828,2740,"2016-08-11","1478-6362","NULL","NULL",NA
8829,2145,"2016-08-11","1447-056X","NULL","NULL",NA
8830,2145,"2016-08-11","2054-7064","NULL","NULL",NA
8831,2145,"2016-08-11","2051-4190","NULL","NULL",NA
8832,2145,"2016-08-11","1751-0759","NULL","NULL",NA
8833,2145,"2016-08-11","1471-2253","NULL","NULL",NA
8834,2145,"2016-08-11","1471-2261","NULL","NULL",NA
8835,2145,"2016-08-11","1472-6890","NULL","NULL",NA
8836,2145,"2016-08-11","1472-6882","NULL","NULL",NA
8837,2145,"2016-08-11","1471-5945","NULL","NULL",NA
8838,2145,"2016-08-11","1472-6815","NULL","NULL",NA
8839,2145,"2016-08-11","1471-227X","NULL","NULL",NA
8840,2145,"2016-08-11","1472-6823","NULL","NULL",NA
8841,2145,"2016-08-11","1471-2296","NULL","NULL",NA
8842,2145,"2016-08-11","1471-230X","NULL","NULL",NA
8843,2145,"2016-08-11","1471-2318","NULL","NULL",NA
8844,2145,"2016-08-11","1472-6963","NULL","NULL",NA
8845,2145,"2016-08-11","2052-1839","NULL","NULL",NA
8846,2145,"2016-08-11","1471-2334","NULL","NULL",NA
8847,2145,"2016-08-11","1472-698X","NULL","NULL",NA
8848,2145,"2016-08-11","1471-2342","NULL","NULL",NA
8849,2145,"2016-08-11","1472-6947","NULL","NULL",NA
8850,2145,"2016-08-11","1471-2288","NULL","NULL",NA
8851,2785,"2016-08-11","1741-7015","NULL","NULL",NA
8852,2145,"2016-08-11","1471-2474","NULL","NULL",NA
8853,2145,"2016-08-11","1471-2369","NULL","NULL",NA
8854,2145,"2016-08-11","1471-2377","NULL","NULL",NA
8855,2145,"2016-08-11","1472-6955","NULL","NULL",NA
8856,2145,"2016-08-11","2055-0928","NULL","NULL",NA
8857,2145,"2016-08-11","2052-9538","NULL","NULL",NA
8858,2145,"2016-08-11","1471-2415","NULL","NULL",NA
8859,2145,"2016-08-11","1472-684X","NULL","NULL",NA
8860,2145,"2016-08-11","1471-2431","NULL","NULL",NA
8861,2145,"2016-08-11","1471-2393","NULL","NULL",NA
8862,2145,"2016-08-11","1471-244X","NULL","NULL",NA
8863,2145,"2016-08-11","1471-2458","NULL","NULL",NA
8864,2145,"2016-08-11","1471-2466","NULL","NULL",NA
8865,2145,"2016-08-11","2052-1847","NULL","NULL",NA
8866,2145,"2016-08-11","1471-2482","NULL","NULL",NA
8867,2145,"2016-08-11","1471-2490","NULL","NULL",NA
8868,2145,"2016-08-11","1746-6148","NULL","NULL",NA
8869,2145,"2016-08-11","1472-6874","NULL","NULL",NA
8870,0,"2016-08-11","2051-6673","NULL","NULL",NA
8871,0,"2016-08-11","2321-3876","NULL","NULL",NA
8872,2145,"2016-08-11","1470-7330","NULL","NULL",NA
8873,2145,"2016-08-11","2059-7347","NULL","NULL",NA
8874,2075,"2016-08-11","2057-3804","NULL","NULL",NA
8875,2410,"2016-08-11","1475-2840","NULL","NULL",NA
8876,2145,"2016-08-11","1476-7120","NULL","NULL",NA
8877,2145,"2016-08-11","1753-2000","NULL","NULL",NA
8878,2145,"2016-08-11","1749-8546","NULL","NULL",NA
8879,0,"2016-08-11","2057-4967","NULL","NULL",NA
8880,2145,"2016-08-11","1476-7961","NULL","NULL",NA
8881,2300,"2016-08-11","2045-7022","NULL","NULL",NA
8882,2145,"2016-08-11","2055-8260","NULL","NULL",NA
8883,0,"2016-08-11","2056-5909","NULL","NULL",NA
8884,2145,"2016-08-11","1752-1505","NULL","NULL",NA
8885,2145,"2016-08-11","2055-7426","NULL","NULL",NA
8886,2145,"2016-08-11","2054-9040","NULL","NULL",NA
8887,2145,"2016-08-11","1478-7547","NULL","NULL",NA
8888,2740,"2016-08-11","1364-8535","NULL","NULL",NA
8889,2220,"2016-08-11","1758-5996","NULL","NULL",NA
8890,2145,"2016-08-11","2397-7523","NULL","NULL",NA
8891,2145,"2016-08-11","1746-1596","NULL","NULL",NA
8892,2145,"2016-08-11","2054-314X","NULL","NULL",NA
8893,2145,"2016-08-11","1742-7622","NULL","NULL",NA
8894,2450,"2016-08-11","2047-783X","NULL","NULL",NA
8895,2145,"2016-08-11","1861-6909","NULL","NULL",NA
8896,2580,"2016-08-11","2162-3619","NULL","NULL",NA
8897,0,"2016-08-11","2326-0254","NULL","NULL",NA
8898,2145,"2016-08-11","2054-7099","NULL","NULL",NA
8899,2450,"2016-08-11","1755-1536","NULL","NULL",NA
8900,0,"2016-08-11","2397-0642","NULL","NULL",NA
8901,2145,"2016-08-11","1744-8603","NULL","NULL",NA
8902,2410,"2016-08-11","1757-4749","NULL","NULL",NA
8903,2145,"2016-08-11","2053-6844","NULL","NULL",NA
8904,2450,"2016-08-11","1477-7517","NULL","NULL",NA
8905,2145,"2016-08-11","1746-160X","NULL","NULL",NA
8906,2145,"2016-08-11","1477-7525","NULL","NULL",NA
